image,caption,object,syntax
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground,"man, bench, dog","POS: [('man', 'NOUN'), ('laying', 'VERB'), ('on', 'ADP'), ('bench', 'NOUN'), ('holding', 'VERB'), ('leash', 'NOUN'), ('of', 'ADP'), ('dog', 'NOUN'), ('sitting', 'VERB'), ('on', 'ADP'), ('ground', 'NOUN')], Entities: []"
1007129816_e794419615.jpg,A man in an orange hat starring at something .,"man, hat","POS: [('A', 'DET'), ('man', 'NOUN'), ('in', 'ADP'), ('an', 'DET'), ('orange', 'ADJ'), ('hat', 'NOUN'), ('starring', 'VERB'), ('at', 'ADP'), ('something', 'PRON'), ('.', 'PUNCT')], Entities: []"
1007129816_e794419615.jpg,A man wears an orange hat and glasses .,"man, hat","POS: [('A', 'DET'), ('man', 'NOUN'), ('wears', 'VERB'), ('an', 'DET'), ('orange', 'ADJ'), ('hat', 'NOUN'), ('and', 'CCONJ'), ('glasses', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1007129816_e794419615.jpg,A man with gauges and glasses is wearing a Blitz hat .,"man, hat","POS: [('A', 'DET'), ('man', 'NOUN'), ('with', 'ADP'), ('gauges', 'NOUN'), ('and', 'CCONJ'), ('glasses', 'NOUN'), ('is', 'AUX'), ('wearing', 'VERB'), ('a', 'DET'), ('Blitz', 'PROPN'), ('hat', 'NOUN'), ('.', 'PUNCT')], Entities: [('B', 'I-MISC'), ('##litz', 'I-MISC')]"
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat .,"man, hat","POS: [('A', 'DET'), ('man', 'NOUN'), ('with', 'ADP'), ('glasses', 'NOUN'), ('is', 'AUX'), ('wearing', 'VERB'), ('a', 'DET'), ('beer', 'NOUN'), ('can', 'AUX'), ('crocheted', 'VERB'), ('hat', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1007129816_e794419615.jpg,The man with pierced ears is wearing glasses and an orange hat .,"man, hat","POS: [('The', 'DET'), ('man', 'NOUN'), ('with', 'ADP'), ('pierced', 'VERB'), ('ears', 'NOUN'), ('is', 'AUX'), ('wearing', 'VERB'), ('glasses', 'NOUN'), ('and', 'CCONJ'), ('an', 'DET'), ('orange', 'ADJ'), ('hat', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1007320043_627395c3d8.jpg,A child playing on a rope net .,"child, rope, net","POS: [('A', 'DET'), ('child', 'NOUN'), ('playing', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('rope', 'NOUN'), ('net', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1007320043_627395c3d8.jpg,A little girl climbing on red roping .,"child, rope, net","POS: [('A', 'DET'), ('little', 'ADJ'), ('girl', 'NOUN'), ('climbing', 'VERB'), ('on', 'ADP'), ('red', 'ADJ'), ('roping', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1007320043_627395c3d8.jpg,A little girl in pink climbs a rope bridge at the park .,"child, rope, net","POS: [('A', 'DET'), ('little', 'ADJ'), ('girl', 'NOUN'), ('in', 'ADP'), ('pink', 'ADJ'), ('climbs', 'VERB'), ('a', 'DET'), ('rope', 'NOUN'), ('bridge', 'NOUN'), ('at', 'ADP'), ('the', 'DET'), ('park', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground .,"child, rope, net","POS: [('A', 'DET'), ('small', 'ADJ'), ('child', 'NOUN'), ('grips', 'VERB'), ('onto', 'ADP'), ('the', 'DET'), ('red', 'ADJ'), ('ropes', 'NOUN'), ('at', 'ADP'), ('the', 'DET'), ('playground', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .,"child, rope, net","POS: [('The', 'DET'), ('small', 'ADJ'), ('child', 'NOUN'), ('climbs', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('red', 'ADJ'), ('ropes', 'NOUN'), ('on', 'ADP'), ('a', 'DET'), ('playground', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1009434119_febe49276a.jpg,A black and white dog is running in a grassy garden surrounded by a white fence .,"dog, garden, fence","POS: [('A', 'DET'), ('black', 'ADJ'), ('and', 'CCONJ'), ('white', 'ADJ'), ('dog', 'NOUN'), ('is', 'AUX'), ('running', 'VERB'), ('in', 'ADP'), ('a', 'DET'), ('grassy', 'ADJ'), ('garden', 'NOUN'), ('surrounded', 'VERB'), ('by', 'ADP'), ('a', 'DET'), ('white', 'ADJ'), ('fence', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1009434119_febe49276a.jpg,A black and white dog is running through the grass .,"dog, garden, fence","POS: [('A', 'DET'), ('black', 'ADJ'), ('and', 'CCONJ'), ('white', 'ADJ'), ('dog', 'NOUN'), ('is', 'AUX'), ('running', 'VERB'), ('through', 'ADP'), ('the', 'DET'), ('grass', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1009434119_febe49276a.jpg,A Boston terrier is running in the grass .,"dog, garden, fence","POS: [('A', 'DET'), ('Boston', 'PROPN'), ('terrier', 'NOUN'), ('is', 'AUX'), ('running', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('grass', 'NOUN'), ('.', 'PUNCT')], Entities: [('Boston', 'I-ORG')]"
1009434119_febe49276a.jpg,A Boston Terrier is running on lush green grass in front of a white fence .,"dog, garden, fence","POS: [('A', 'DET'), ('Boston', 'PROPN'), ('Terrier', 'PROPN'), ('is', 'AUX'), ('running', 'VERB'), ('on', 'ADP'), ('lush', 'ADJ'), ('green', 'ADJ'), ('grass', 'NOUN'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('white', 'ADJ'), ('fence', 'NOUN'), ('.', 'PUNCT')], Entities: [('Boston', 'I-ORG'), ('Te', 'I-MISC'), ('##rrier', 'I-MISC')]"
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .,"dog, garden, fence","POS: [('A', 'DET'), ('dog', 'NOUN'), ('runs', 'VERB'), ('on', 'ADP'), ('the', 'DET'), ('green', 'ADJ'), ('grass', 'NOUN'), ('near', 'ADP'), ('a', 'DET'), ('wooden', 'ADJ'), ('fence', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1012212859_01547e3f17.jpg,"A dog shakes its head near the shore , a red ball next to it .","dog, head, shore, ball","POS: [('A', 'DET'), ('dog', 'NOUN'), ('shakes', 'VERB'), ('its', 'PRON'), ('head', 'NOUN'), ('near', 'ADP'), ('the', 'DET'), ('shore', 'NOUN'), (',', 'PUNCT'), ('a', 'DET'), ('red', 'ADJ'), ('ball', 'NOUN'), ('next', 'ADV'), ('to', 'ADP'), ('it', 'PRON'), ('.', 'PUNCT')], Entities: []"
1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball .,"dog, head, shore, ball","POS: [('A', 'DET'), ('white', 'ADJ'), ('dog', 'NOUN'), ('shakes', 'VERB'), ('on', 'ADP'), ('the', 'DET'), ('edge', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('beach', 'NOUN'), ('with', 'ADP'), ('an', 'DET'), ('orange', 'PROPN'), ('ball', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1012212859_01547e3f17.jpg,"Dog with orange ball at feet , stands on shore shaking off water","dog, head, shore, ball","POS: [('Dog', 'NOUN'), ('with', 'ADP'), ('orange', 'PROPN'), ('ball', 'PROPN'), ('at', 'ADP'), ('feet', 'NOUN'), (',', 'PUNCT'), ('stands', 'VERB'), ('on', 'ADP'), ('shore', 'NOUN'), ('shaking', 'VERB'), ('off', 'ADP'), ('water', 'NOUN')], Entities: []"
1012212859_01547e3f17.jpg,White dog playing with a red ball on the shore near the water .,"dog, head, shore, ball","POS: [('White', 'ADJ'), ('dog', 'NOUN'), ('playing', 'VERB'), ('with', 'ADP'), ('a', 'DET'), ('red', 'ADJ'), ('ball', 'NOUN'), ('on', 'ADP'), ('the', 'DET'), ('shore', 'NOUN'), ('near', 'ADP'), ('the', 'DET'), ('water', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .,"dog, head, shore, ball","POS: [('White', 'ADJ'), ('dog', 'NOUN'), ('with', 'ADP'), ('brown', 'ADJ'), ('ears', 'NOUN'), ('standing', 'VERB'), ('near', 'ADP'), ('water', 'NOUN'), ('with', 'ADP'), ('head', 'NOUN'), ('turned', 'VERB'), ('to', 'ADP'), ('one', 'NUM'), ('side', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015118661_980735411b.jpg,A boy smiles in front of a stony wall in a city .,"boy, front, stony, wall, city","POS: [('A', 'DET'), ('boy', 'NOUN'), ('smiles', 'VERB'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('stony', 'NOUN'), ('wall', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('city', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .,"boy, front, stony, wall, city","POS: [('A', 'DET'), ('little', 'ADJ'), ('boy', 'NOUN'), ('is', 'AUX'), ('standing', 'VERB'), ('on', 'ADP'), ('the', 'DET'), ('street', 'NOUN'), ('while', 'SCONJ'), ('a', 'DET'), ('man', 'NOUN'), ('in', 'ADP'), ('overalls', 'NOUN'), ('is', 'AUX'), ('working', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('stone', 'NOUN'), ('wall', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015118661_980735411b.jpg,A young boy runs aross the street .,"boy, front, stony, wall, city","POS: [('A', 'DET'), ('young', 'ADJ'), ('boy', 'NOUN'), ('runs', 'VERB'), ('aross', 'VERB'), ('the', 'DET'), ('street', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015118661_980735411b.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him .,"boy, front, stony, wall, city","POS: [('A', 'DET'), ('young', 'ADJ'), ('child', 'NOUN'), ('is', 'AUX'), ('walking', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('stone', 'NOUN'), ('paved', 'VERB'), ('street', 'NOUN'), ('with', 'ADP'), ('a', 'DET'), ('metal', 'NOUN'), ('pole', 'NOUN'), ('and', 'CCONJ'), ('a', 'DET'), ('man', 'NOUN'), ('behind', 'ADP'), ('him', 'PRON'), ('.', 'PUNCT')], Entities: []"
1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,"boy, front, stony, wall, city","POS: [('Smiling', 'VERB'), ('boy', 'NOUN'), ('in', 'ADP'), ('white', 'ADJ'), ('shirt', 'NOUN'), ('and', 'CCONJ'), ('blue', 'ADJ'), ('jeans', 'NOUN'), ('in', 'ADP'), ('front', 'NOUN'), ('of', 'ADP'), ('rock', 'NOUN'), ('wall', 'NOUN'), ('with', 'ADP'), ('man', 'NOUN'), ('in', 'ADP'), ('overalls', 'NOUN'), ('behind', 'ADP'), ('him', 'PRON'), ('.', 'PUNCT')], Entities: []"
1015584366_dfcec3c85a.jpg,A black dog leaps over a log .,"dog, leaps, log","POS: [('A', 'DET'), ('black', 'ADJ'), ('dog', 'NOUN'), ('leaps', 'NOUN'), ('over', 'ADP'), ('a', 'DET'), ('log', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015584366_dfcec3c85a.jpg,A grey dog is leaping over a fallen tree .,"dog, leaps, log","POS: [('A', 'DET'), ('grey', 'ADJ'), ('dog', 'NOUN'), ('is', 'AUX'), ('leaping', 'VERB'), ('over', 'ADP'), ('a', 'DET'), ('fallen', 'VERB'), ('tree', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015584366_dfcec3c85a.jpg,A large black dog leaps a fallen log .,"dog, leaps, log","POS: [('A', 'DET'), ('large', 'ADJ'), ('black', 'ADJ'), ('dog', 'NOUN'), ('leaps', 'VERB'), ('a', 'DET'), ('fallen', 'VERB'), ('log', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015584366_dfcec3c85a.jpg,A mottled black and grey dog in a blue collar jumping over a fallen tree .,"dog, leaps, log","POS: [('A', 'DET'), ('mottled', 'ADJ'), ('black', 'ADJ'), ('and', 'CCONJ'), ('grey', 'ADJ'), ('dog', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('blue', 'ADJ'), ('collar', 'NOUN'), ('jumping', 'VERB'), ('over', 'ADP'), ('a', 'DET'), ('fallen', 'VERB'), ('tree', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .,"dog, leaps, log","POS: [('The', 'DET'), ('black', 'ADJ'), ('dog', 'NOUN'), ('jumped', 'VERB'), ('the', 'DET'), ('tree', 'NOUN'), ('stump', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101654506_8eb26cfb60.jpg,A brown and white dog is running through the snow .,"dog, snow","POS: [('A', 'DET'), ('brown', 'ADJ'), ('and', 'CCONJ'), ('white', 'ADJ'), ('dog', 'NOUN'), ('is', 'AUX'), ('running', 'VERB'), ('through', 'ADP'), ('the', 'DET'), ('snow', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101654506_8eb26cfb60.jpg,A dog is running in the snow,"dog, snow","POS: [('A', 'DET'), ('dog', 'NOUN'), ('is', 'AUX'), ('running', 'VERB'), ('in', 'ADP'), ('the', 'DET'), ('snow', 'NOUN')], Entities: []"
101654506_8eb26cfb60.jpg,A dog running through snow .,"dog, snow","POS: [('A', 'DET'), ('dog', 'NOUN'), ('running', 'VERB'), ('through', 'ADP'), ('snow', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field .,"dog, snow","POS: [('a', 'DET'), ('white', 'ADJ'), ('and', 'CCONJ'), ('brown', 'ADJ'), ('dog', 'NOUN'), ('is', 'AUX'), ('running', 'VERB'), ('through', 'ADP'), ('a', 'DET'), ('snow', 'NOUN'), ('covered', 'VERB'), ('field', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .,"dog, snow","POS: [('The', 'DET'), ('white', 'ADJ'), ('and', 'CCONJ'), ('brown', 'ADJ'), ('dog', 'NOUN'), ('is', 'AUX'), ('running', 'VERB'), ('over', 'ADP'), ('the', 'DET'), ('surface', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('snow', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101669240_b2d3e7f17b.jpg,A man in a hat is displaying pictures next to a skier in a blue hat .,"man, hat, pictures, skier, hat","POS: [('A', 'DET'), ('man', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('hat', 'NOUN'), ('is', 'AUX'), ('displaying', 'VERB'), ('pictures', 'NOUN'), ('next', 'ADV'), ('to', 'ADP'), ('a', 'DET'), ('skier', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('blue', 'ADJ'), ('hat', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101669240_b2d3e7f17b.jpg,A man skis past another man displaying paintings in the snow .,"man, hat, pictures, skier, hat","POS: [('A', 'DET'), ('man', 'NOUN'), ('skis', 'NOUN'), ('past', 'ADP'), ('another', 'DET'), ('man', 'NOUN'), ('displaying', 'VERB'), ('paintings', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('snow', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101669240_b2d3e7f17b.jpg,A person wearing skis looking at framed pictures set up in the snow .,"man, hat, pictures, skier, hat","POS: [('A', 'DET'), ('person', 'NOUN'), ('wearing', 'VERB'), ('skis', 'NOUN'), ('looking', 'VERB'), ('at', 'ADP'), ('framed', 'ADJ'), ('pictures', 'NOUN'), ('set', 'VERB'), ('up', 'ADP'), ('in', 'ADP'), ('the', 'DET'), ('snow', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101669240_b2d3e7f17b.jpg,A skier looks at framed pictures in the snow next to trees .,"man, hat, pictures, skier, hat","POS: [('A', 'DET'), ('skier', 'NOUN'), ('looks', 'VERB'), ('at', 'ADP'), ('framed', 'ADJ'), ('pictures', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('snow', 'NOUN'), ('next', 'ADV'), ('to', 'ADP'), ('trees', 'NOUN'), ('.', 'PUNCT')], Entities: []"
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow,"man, hat, pictures, skier, hat","POS: [('Man', 'NOUN'), ('on', 'ADP'), ('skis', 'NOUN'), ('looking', 'VERB'), ('at', 'ADP'), ('artwork', 'NOUN'), ('for', 'ADP'), ('sale', 'NOUN'), ('in', 'ADP'), ('the', 'DET'), ('snow', 'NOUN')], Entities: []"
1016887272_03199f49c4.jpg,A collage of one person climbing a cliff .,"collage, person, cliff","POS: [('A', 'DET'), ('collage', 'NOUN'), ('of', 'ADP'), ('one', 'NUM'), ('person', 'NOUN'), ('climbing', 'VERB'), ('a', 'DET'), ('cliff', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1016887272_03199f49c4.jpg,A group of people are rock climbing on a rock climbing wall .,"collage, person, cliff","POS: [('A', 'DET'), ('group', 'NOUN'), ('of', 'ADP'), ('people', 'NOUN'), ('are', 'AUX'), ('rock', 'NOUN'), ('climbing', 'VERB'), ('on', 'ADP'), ('a', 'DET'), ('rock', 'NOUN'), ('climbing', 'NOUN'), ('wall', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays,"collage, person, cliff","POS: [('A', 'DET'), ('group', 'NOUN'), ('of', 'ADP'), ('people', 'NOUN'), ('climbing', 'VERB'), ('a', 'DET'), ('rock', 'NOUN'), ('while', 'SCONJ'), ('one', 'NUM'), ('man', 'NOUN'), ('belays', 'NOUN')], Entities: []"
1016887272_03199f49c4.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .,"collage, person, cliff","POS: [('Seven', 'NUM'), ('climbers', 'NOUN'), ('are', 'AUX'), ('ascending', 'VERB'), ('a', 'DET'), ('rock', 'NOUN'), ('face', 'NOUN'), ('whilst', 'SCONJ'), ('another', 'DET'), ('man', 'NOUN'), ('stands', 'VERB'), ('holding', 'VERB'), ('the', 'DET'), ('rope', 'NOUN'), ('.', 'PUNCT')], Entities: []"
1016887272_03199f49c4.jpg,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,"collage, person, cliff","POS: [('Several', 'ADJ'), ('climbers', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('row', 'NOUN'), ('are', 'AUX'), ('climbing', 'VERB'), ('the', 'DET'), ('rock', 'NOUN'), ('while', 'SCONJ'), ('the', 'DET'), ('man', 'NOUN'), ('in', 'ADP'), ('red', 'ADJ'), ('watches', 'NOUN'), ('and', 'CCONJ'), ('holds', 'VERB'), ('the', 'DET'), ('line', 'NOUN'), ('.', 'PUNCT')], Entities: []"
